MONTH,CITY,STORE,STATUS,ZONE_MAPPING,ORDER_COUNT,CART_SALES,DISCOUNT,NET_REVENUE,IDEAL_FOOD_COST,GROSS_MARGIN,KITCHEN_EBITDA,VARIANCE,REVENUE_COHORT,CM_COHORT,EBITDA_CATEGORY,EBITDA_COHORT,GM_PERCENT,EBITDA_PERCENT,VARIANCE_PERCENT,REVENUE_BUCKET,VARIANCE_BUCKET,EBITDA_STATUS
2023-10-01,Ahmedabad,Ramos-Martin,Inactive,West,14270,6554333.68,1163493.98,5434068.17,1763679.62,3614747.39,2374914.55,29664.62,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%,66.52009648969862,43.704172927223325,1.681973282653229,Above INR 45 lacs,Var <2%,High Profit
2023-11-01,Ahmedabad,Ramos-Martin,Inactive,West,8528,2637625.82,636015.27,2146679.55,638415.3,1414249.0,151761.82,11769.85,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%,65.88076920935872,7.06960757137692,1.8436039988390003,INR 15 to 25 lacs,Var <2%,Low Profit
2023-12-01,Ahmedabad,Ramos-Martin,Inactive,West,10798,4364193.67,1283840.18,3188606.71,1085080.58,2036999.44,736811.76,23376.83,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,0% to 10%,63.88368416875093,23.10764001371621,2.154386543347776,INR 25 to 35 lacs,Var 2-3%,High Profit
2024-01-01,Ahmedabad,Ramos-Martin,Inactive,West,7804,3479969.32,854797.46,2734306.33,1180892.5,1451140.55,229924.26,26162.41,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%,53.0716157907589,8.408869828421894,2.2154777001293513,INR 25 to 35 lacs,Var 2-3%,Low Profit
2024-02-01,Ahmedabad,Ramos-Martin,Inactive,West,10060,4771378.71,1290900.38,3602124.88,1114846.94,2394567.16,1114151.65,19944.97,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%,66.47651704956992,30.930400447415913,1.7890321338640442,INR 35 to 45 lacs,Var <2%,High Profit
2024-03-01,Ahmedabad,Ramos-Martin,Inactive,West,14280,4706936.27,1410485.57,3340397.87,1428327.36,1817292.19,476456.13,14404.82,INR 30 to 40 lacs,More than 30%,EBITDA -ve,0% to 10%,54.40346511776455,14.263454490826867,1.0085097018655442,INR 25 to 35 lacs,Var <2%,Moderate Profit
2023-10-01,Pune,Burke-Johnson,Inactive,North,8369,3367841.36,619596.48,2837141.55,1006918.91,1687753.28,284603.87,25597.51,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,10% to 20%,59.487806662307705,10.031359556240682,2.542162009848439,INR 25 to 35 lacs,Var 2-3%,Moderate Profit
2023-11-01,Pune,Burke-Johnson,Inactive,North,10991,5167810.92,1500449.35,3770663.65,1300145.07,2371957.2,1050903.83,19734.84,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,0% to 10%,62.905563056519256,27.87052698269707,1.5178952299530697,INR 35 to 45 lacs,Var <2%,High Profit
2023-12-01,Pune,Burke-Johnson,Inactive,North,12895,5496206.52,1479698.04,4080783.22,1218795.04,2794277.11,1214628.03,28723.1,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,0% to 10%,68.47403940266152,29.764581074708495,2.3566800862596224,INR 35 to 45 lacs,Var 2-3%,High Profit
2024-01-01,Pune,Burke-Johnson,Inactive,North,7569,3678559.48,590638.41,3142931.96,1442605.0,1579435.86,347215.03,23440.52,More than 40 lacs,10% to 20%,EBITDA +ve,10% to 20%,50.25358105429684,11.047487964072886,1.6248744458808893,INR 25 to 35 lacs,Var <2%,Moderate Profit
2024-02-01,Pune,Burke-Johnson,Inactive,North,11146,4381711.1,1013913.47,3425425.48,1089716.58,2208709.54,933086.35,29252.97,INR 20 to 30 lacs,More than 30%,EBITDA -ve,More than 20%,64.47985959396787,27.24001311510067,2.684456723600553,INR 25 to 35 lacs,Var 2-3%,High Profit
